"Id","SalePrice"
1461,121900.994900839
1462,175845.068958012
1463,184557.357738578
1464,201815.709649805
1465,185582.681768715
1466,173576.2117208
1467,184252.693760193
1468,165138.093974081
1469,191628.472289181
1470,126873.755560523
1471,189122.360948551
1472,101315.931435012
1473,104240.063773791
1474,141576.195672693
1475,109218.610823533
1476,366007.340700159
1477,253957.908958289
1478,284202.730455146
1479,287350.279033896
1480,469792.547988367
1481,329283.398108627
1482,208794.170363467
1483,179596.566719113
1484,164662.589444242
1485,179081.493182054
1486,194897.223189173
1487,325539.28019867
1488,238897.612461568
1489,201162.355571376
1490,244553.363402373
1491,198420.660215951
1492,88730.8373332675
1493,196733.287180542
1494,283301.035336532
1495,277678.356235335
1496,241899.404296538
1497,179748.660394159
1498,167367.015737767
1499,169164.489488166
1500,159405.11791611
1501,192229.021915925
1502,150718.015792479
1503,287450.746471138
1504,236099.331186831
1505,222665.718097903
1506,193340.998580932
1507,259477.351817771
1508,207150.118098478
1509,163640.631369023
1510,144071.373015737
1511,146456.165039614
1512,174065.844054042
1513,150088.512446113
1514,155850.233651847
1515,204948.797841101
1516,153413.78570183
1517,168685.835805946
1518,119326.827162761
1519,226011.740347271
1520,128648.887139031
1521,132158.994864193
1522,175396.623994616
1523,117314.51440756
1524,125658.911128185
1525,124666.010188438
1526,106640.070448636
1527,109908.41302728
1528,137493.576900122
1529,149435.902833331
1530,193884.013132277
1531,124099.452154301
1532,95315.4005678335
1533,150271.391166298
1534,118259.890056363
1535,149402.912651168
1536,110636.302065111
1537,53406.6859596133
1538,168198.425489076
1539,203756.800638036
1540,101535.840548396
1541,141261.224770921
1542,138821.311357653
1543,195234.135666485
1544,88346.0289638484
1545,118310.667620186
1546,134714.264874175
1547,131440.63620012
1548,136897.151497902
1549,117602.464964063
1550,135146.628213957
1551,106027.842885649
1552,153171.152694189
1553,144441.02019237
1554,118885.105915623
1555,153749.848675882
1556,86520.7459160415
1557,95542.2304386791
1558,106408.643252755
1559,81879.0664354992
1560,121097.258248739
1561,134305.998803939
1562,124137.522242566
1563,121547.584696524
1564,156027.711773562
1565,147001.833309645
1566,245779.203544862
1567,80607.1850406034
